table_id,page_title,section_title,table_caption,headers,sample_data
table-1451-328,Hypothalamus,Endocrine hormones,Endocrine hormones,"[""Secreted hormone"", ""Abbreviation"", ""Produced by"", ""Effect""]","[[""[Thyrotropin-releasing_hormone|Thyrotropin-releasing hormone]"", ""TRH, TRF, or PRH"", ""[Parvocellular_neurosecretory_cell|Parvocellular neurosecretory cell]"", ""[Thyroid-stimulating_hormone|thyroid-stimulating hormone (TSH)]""], [""[Corticotropin-releasing_hormone|Corticotropin-releasing hormone]"", ""CRH or CRF"", ""Parvocellular neurosecretory cells of the paraventricular nucleus"", ""[Adrenocorticotropic_hormone|adrenocorticotropic hormone (ACTH)]""], [""[Dopamine|Dopamine]"", ""DA or PIH"", ""[Arcuate_nucleus|Dopamine neurons of the arcuate nucleus]"", ""[Prolactin|prolactin]""]]"
table-1452-308,Amama Mbabazi,External links,External links,"[""Political offices"", ""Political offices"", ""Political offices""]","[[""Francis Ayume"", ""[Attorney_general|Attorney General of Uganda]"", ""[Kiddu_Makubuya|Khiddu Makubuya]""], [""[Yoweri_Museveni|Yoweri Museveni]"", ""[Defence_minister|Minister of Defence]"", ""[Crispus_Kiyonga|Crispus Kiyonga]""], [""[Wilson_Muruli_Mukasa|Wilson Muruuli Mukasa]"", ""[Minister_for_Security|Minister for Security]"", ""[Wilson_Muruli_Mukasa|Wilson Muruuli Mukasa]""]]"
table-1452-662,A Different World,Main cast,Main cast,"[""Actor"", ""Character"", ""Seasons"", ""Seasons"", ""Seasons"", ""Seasons"", ""Seasons"", ""Seasons""]","[[""[Lisa_Bonet|Lisa Bonet]"", ""[List_of_The_Cosby_Show_characters|Denise Huxtable]"", ""Main"", """", """", """", """", """"], [""[Marisa_Tomei|Marisa Tomei]"", ""Maggie Lauten"", ""Main"", """", """", """", """", """"], [""[Dawnn_Lewis|Dawnn Lewis]"", ""Jaleesa Vinson-Taylor"", ""Main"", ""Main"", ""Main"", ""Main"", ""Main"", """"]]"
table-1452-734,List of motion picture film stocks,,,"[""Prefix"", ""Description""]","[[""52"", ""Acetate-base 35mm (or larger) camera film""], [""53"", ""Acetate-base 35mm (or larger) lab/print film""], [""72"", ""Acetate-base 16mm or 8mm camera film""]]"
table-1452-735,List of motion picture film stocks,,Early Nitrate films (1916 1941),[],[]
table-1452-736,List of motion picture film stocks,Early Nitrate films (1916 1941),Print films (1941 present),"[""Number"", ""Name"", ""Introduced"", ""Discontinued""]","[["""", ""Cine Negative Film, Type E, orthochromatic"", ""1916"", ""1930""], [""1201"", ""Cine Negative Film, Type F, orthochromatic"", ""1917"", ""1930""], ["""", ""Super Speed Cine Negative Film, orthochromatic"", ""1922"", ""1930""]]"
table-1453-178,Income tax in India,Income from capital gains,Income from capital gains,"["""", ""Section 54"", ""Section 54B"", ""Section 54D"", ""Section 54EC"", ""Section 54F"", ""Section 54G"", ""Section 54GA"", ""Section 54GB""]","[[""Who is eligible to claim exemption"", ""Individual/HUF"", ""Individual"", ""Any person"", ""Any person"", ""Individual/HUF"", ""Any person"", ""Any person"", ""Individual/HUF""], [""Which asset is eligible for exemption"", ""A residential house property (long term)"", ""Agricultural land (if used by individual or his parents for agricultural purpose during at least 2 years immediately prior to transfer)"", ""Land/building forming part of an industrial undertaking which is compulsorily acquired by the Government & which is used during 2 years for industrial purposes prior to acquisition"", ""Any long term capital asset"", ""Any long term capital asset (other than house property) provided that on the date of transfer the assessee does not own more than one residential house property"", ""Land/building/plant/machinery in order to shift an industrial undertaking from urban area to rural area"", ""[Special_economic_zone|Special Economic Zone]"", ""Long-term residential property if transfer takes place between if transfer takes place during 1 April 2012 and 31 March 2017""], [""Which asset should be acquired to claim exemption"", ""Residential house property"", ""Agricultural land in rural or urban area"", ""Land/building for industrial purpose"", ""[National_Highways_Authority_of_India|National Highways Authority of India]"", ""A residential house property"", ""Land/building/plant/machinery in order to shift undertaking to rural area"", ""[Special_economic_zone|SEZ]"", ""Equity shares in eligible company""]]"
table-1453-180,Income tax in India,Due date of submission of return,Due date of submission of return,"[""30 September of the Assessment Year(AY)"", ""-If the assessee is a company (not having any inter-nation transaction), or -If the assessee is any person other than a company whose books of accounts are required to be audited under any law, or -If the assessee is a working partner in a firm whose books of accounts are required to be audited under any law.""]","[[""30 November of the AY"", ""If the assessee is a company and it is required to furnish report under section 92E pertaining to international transactions.""], [""31 July of the AY"", ""In any other case.""]]"
table-1453-183,Income tax in India,Surcharge,Surcharge,"["""", ""Total income in the range of \u20b910million to \u20b9100million"", ""Total income above \u20b9100million""]","[[""Domestic company"", ""15% of income tax payable"", ""10% of income tax payable""], [""Foreign company"", ""12% of income tax payable"", ""5% of income tax payable""]]"
table-1453-184,Income tax in India,Residential status of a person other than an individual,Residential status of a person other than an individual,"[""Type of person"", ""Control & management of affairs of the taxpayer is wholly in India"", ""Control & management of affairs of the taxpayer is wholly outside India"", ""Control & management of affairs of the taxpayer is partly in India partly outside India""]","[[""HUF"", ""Resident"", ""Non-resident"", ""Resident""], [""Firm"", ""Resident"", ""Non-resident"", ""Resident""], [""Association of persons"", ""Resident"", ""Non-resident"", ""Resident""]]"
table-1453-697,List of Disney's Hollywood Studios attractions,Former attractions,Former attractions,"[""Name"", ""Attraction Type"", ""Description""]","[[""Superstar Television"", ""Interactive stage show"", ""[Chroma_key|chroma-key]""], [""The Monster Sound Show"", ""Interactive stage show"", ""[Foley_(filmmaking)|Foley artist]""], [""[Who_Wants_to_Be_a_Millionaire_\u2013_Play_It!|Who Wants to Be a Millionaire \u2013 Play It!]"", ""Interactive stage show"", ""[Greedo|Greedo]""]]"
table-1454-404,Stuart Collection,Installations,Installations,"[""Year"", ""Name"", ""Artist"", ""Location""]","[[""1983"", ""[Sun_God_(statue)|Sun God]"", ""[Niki_de_Saint_Phalle|Niki de Saint Phalle]"", ""[John_Muir_College|Muir College]""], [""1983"", ""Two Running Violet V Forms"", ""[Robert_Irwin_(artist)|Robert Irwin]"", ""Eucalyptus grove behind Faculty Club""], [""1984"", ""La Jolla Project"", ""[Richard_Fleischner|Richard Fleischner]"", ""[Revelle_College|Revelle College]""]]"
table-1454-460,Obsolete and nonstandard symbols in the International Phonetic Alphabet,,Footnotes,"[""c"", ""It is sometimes used as [t\u0361s] , [t\u0361\u0283] or [t\u0361\u0255] .""]","[[""j"", ""It is sometimes used as [d\u0361\u0292] or [d\u0361\u0291] .""], [""\u0292"", ""It is sometimes used as [d\u0361z] .""], [""y"", ""It is sometimes used as [j] .""]]"
table-1455-161,List of lakes of Australia,Perched lakes,Perched lakes,"[""Lake name"", ""[States_and_territories_of_Australia|State/territory]""]","[[""[Lake_McKenzie|Lake McKenzie]"", ""Queensland""], [""[Lake_Wabby|Lake Wobby]"", ""Queensland""]]"
table-1455-165,List of lakes of Australia,Volcanic lakes,Volcanic lakes,"[""Lake name"", ""[States_and_territories_of_Australia|State/territory]""]","[[""[Blue_Lake_(South_Australia)|Blue Lake]"", ""South Australia""], [""[Lake_Barrine|Lake Barrine]"", ""Queensland""], [""[Lake_Eacham|Lake Eacham]"", ""Queensland""]]"
table-1455-264,Boyden Observatory,Research and discoveries,Research and discoveries,"[""[Asteroid|Asteroid]"", ""[Asteroid|Asteroid]""]","[[""[List_of_minor_planets:_4001\u20135000|4301 Boyden]"", ""7 August 1966""], [""[List_of_minor_planets:_5001\u20136000|5298 Paraskevopoulos]"", ""7 August 1966""], [""[List_of_minor_planets:_11001\u201312000|11781 Alexroberts]"", ""7 August 1966""]]"
table-1455-559,List of Solar System objects by size,Examples of objects between 20 km and 1 km in radius,Examples of objects between 20 km and 1 km in radius,"[""Body"", ""Image"", ""[Kilometre|km]"", ""[Orders_of_magnitude_(mass)|Eg]"", ""Type of object""]","[[""[167_Urda|167 Urda]"", """", ""19.97"", ""66.7"", ""[Asteroid_belt|Main-belt asteroid]""], [""[944_Hidalgo|Hidalgo]"", """", ""19"", """", ""[Centaur_(minor_planet)|Centaur]""], [""[Sinope_(moon)|Sinope]"", """", ""19"", ""76"", ""[Moons_of_Jupiter|Satellite of Jupiter]""]]"
table-1455-572,Jack of All Trades (TV series),Episodes,Episodes,"[""Episode Number"", ""Episode title"", ""Original air date""]","[[""2-1"", ""\""A Horse of a Different Color\"""", ""October7,2000""], [""Someone's horsing around with the safety of the island when Katherine the Great threatens to destroy Palau Palau unless her champion horse is returned within 24 hours."", ""Someone's horsing around with the safety of the island when Katherine the Great threatens to destroy Palau Palau unless her champion horse is returned within 24 hours."", ""Someone's horsing around with the safety of the island when Katherine the Great threatens to destroy Palau Palau unless her champion horse is returned within 24 hours.""], [""2-2"", ""\""Shark Bait\"""", ""October14,2000""]]"
table-1456-444,Megalithic Temples of Malta,Temple phases,Temple phases,"[""Period"", ""Phase"", ""Dates BC c.""]","[[""Period"", ""Phase"", ""Dates BC c.""], [""Neolithic (5,000-4,100 BC)"", ""G\u0127ar Dalam"", ""5,000-4,300 BC""], [""Neolithic (5,000-4,100 BC)"", ""Grey Skorba"", ""4,500-4,400 BC""]]"
table-1458-711,Cerro Tololo Inter-American Observatory,Discoveries,Discoveries,"[""[Asteroid|Asteroid]"", ""[Asteroid|Asteroid]""]","[[""[(87269)_2000_OO67|(87269) 2000 OO67]"", ""July 29, 2000""], [""(87555) 2000 QB243"", ""August 25, 2000""], [""[88611_Teharonhiawako|88611 Teharonhiawako]"", ""August 20, 2001""]]"
table-1459-127,Finian's Rainbow,Original Broadway production,Original Broadway production,"[""Year"", ""Award"", ""Category"", ""Nominee"", ""Result""]","[[""1947"", ""[Tony_Award|Tony Award]"", ""[Tony_Award_for_Best_Featured_Actor_in_a_Musical|Best Performance by a Featured Actor in a Musical]"", ""[David_Wayne|David Wayne]"", ""Won""], [""1947"", ""[Tony_Award|Tony Award]"", ""[Tony_Award_for_Best_Choreography|Best Choreography]"", ""[Michael_Kidd|Michael Kidd]"", ""Won""], [""1948"", ""[Tony_Award|Tony Award]"", ""[Tony_Award_for_Best_Conductor_and_Musical_Director|Best Conductor and Musical Director]"", ""[Milton_Rosenstock|Milton Rosenstock]"", ""Won""]]"
table-1460-510,List of Deputy Prime Ministers of Luxembourg,List of Deputy Prime Ministers,List of Deputy Prime Ministers,"[""Deputy Prime Minister"", ""Deputy Prime Minister"", ""Party"", ""Start date"", ""End date"", ""Reason for departure"", ""Prime Minister"", ""Prime Minister""]","[["""", ""[Eug\u00e8ne_Schaus|Eug\u00e8ne Schaus]"", ""[Democratic_Party_(Luxembourg)|DP]"", ""2 March 1959"", ""15 July 1964"", ""Coalition partner changed"", """", ""[Pierre_Werner|Pierre Werner]""], ["""", ""[Henry_Cravatte|Henry Cravatte]"", ""[Luxembourg_Socialist_Workers'_Party|LSAP]"", ""15 July 1964"", ""6 February 1969"", ""Coalition partner changed"", """", ""[Pierre_Werner|Pierre Werner]""], ["""", ""[Eug\u00e8ne_Schaus|Eug\u00e8ne Schaus]"", ""[Democratic_Party_(Luxembourg)|DP]"", ""6 February 1969"", ""15 June 1974"", ""Government lost election"", """", ""[Pierre_Werner|Pierre Werner]""]]"
table-1460-55,San Diego Community College District,Cost of Attendance,Cost of Attendance,"["""", ""Dependent Student"", ""Independent Student""]","[[""Enrollment Fees"", ""$728"", ""$728""], [""Health Fee"", ""$34"", ""$34""], [""Books and Supplies"", ""$1,620"", ""$1,620""]]"
table-1461-670,Atlantic Collegiate Baseball League,Atlantic Collegiate Baseball League Teams,Atlantic Collegiate Baseball League Teams,"[""Division""]",[]
table-1461-956,Postpartum hemorrhage,Causes,Causes of postpartum hemorrhage and their incidence,"[""Cause"", ""Incidence""]","[[""Uterine atony"", ""70%""], [""Trauma"", ""20%""], [""Retained tissue"", ""10%""]]"
table-1462-360,"Denver-Aurora-Lakewood, CO Metropolitan Statistical Area",Counties,The Denver-Aurora-Lakewood Metropolitan Statistical Area,"[""County"", ""2011 Estimate"", ""Change""]","[[""[Denver|City and County of Denver]"", """", ""%""], [""[Arapahoe_County,_Colorado|Arapahoe County]"", """", ""%""], [""[Jefferson_County,_Colorado|Jefferson County]"", """", ""%""]]"
table-1462-369,Barcode,Matrix (2D) barcodes,Matrix (2D) barcodes,"[""Example"", ""Name"", ""Notes""]","[["""", ""3-DI"", ""Developed by Lynn Ltd.""], ["""", ""ArrayTag"", ""From ArrayTech Systems.""], ["""", ""AugTag"", ""Alex Wissner-Gross""]]"
table-1462-531,Lexington–Fayette Metropolitan Statistical Area,Counties,Counties,"[""Geographic Area"", ""[2010_United_States_Census|2010 Census]"", ""[2000_United_States_Census|2000 Census]"", ""[1990_United_States_Census|1990 Census]"", ""[1980_United_States_Census|1980 Census]"", ""[1970_United_States_Census|1970 Census]"", ""[1960_United_States_Census|1960 Census]"", ""[1950_United_States_Census|1950 Census]""]","[[""Lexington-Fayette MSA"", ""472,099"", ""408,326"", ""348,428"", ""317,629"", ""174,323"", ""131,906"", ""100,746""], [""[Bourbon_County,_Kentucky|Bourbon County, Kentucky]"", ""19,985"", ""19,360"", ""19,236"", ""19,405"", ""18,476\u00b9"", ""18,178\u00b9"", ""17,752\u00b9""], [""[Clark_County,_Kentucky|Clark County, Kentucky]"", ""35,613"", ""33,144"", ""29,496"", ""28,322"", ""24,090\u00b9"", ""21,075\u00b9"", ""18,898\u00b9""]]"
table-1462-893,Excise tax in the United States,Statutory law,Statutory law,"[""Table of U.S. Excise Tax Rates for Different Products (2010) (grouped by specific trust fund)""]",[]
table-1464-266,Islam in Rwanda,Population,Population,"[""Source"", ""Population (000s)"", ""Population (%)"", ""Year"", ""Ref""]","[[""[The_Washington_Post|The Washington Post]"", ""1,148"", ""14"", ""2002"", """"], [""[The_Washington_Post|The Washington Post]"", """", ""7"", ""1993 \""before killings began\"""", """"], [""[The_World_Factbook|CIA World factbook]"", ""456"", ""4.6"", ""2001"", """"]]"
table-1464-4,Alan Tudyk,Video games,Video games,"[""Year"", ""Title"", ""Role""]","[[""2006"", ""[Ice_Age:_The_Meltdown|Ice Age: The Meltdown]"", ""Cholly""], [""2007"", ""[Halo_3|Halo 3]"", ""Marines""], [""2009"", ""[Halo_3:_ODST|Halo 3: ODST]"", ""Mickey""]]"
table-1464-414,Louise Brealey,Theatre credits,List of roles in theatre,"[""Year"", ""Title"", ""Role"", ""Director"", ""Theatre""]","[[""2001"", ""Sliding with Suzanne"", ""Sophie"", ""[Max_Stafford-Clark|Max Stafford-Clark]"", ""[Royal_Court_Theatre|Royal Court Theatre]""], [""2005"", ""[Arcadia_(play)|Arcadia]"", ""Thomasina"", ""Rachel Kavanaugh"", ""[Bristol_Old_Vic|Bristol Old Vic]""], [""2006"", ""After the End"", ""Louise"", ""Roxana Silbert"", ""[Off-Broadway|Off-Broadway]""]]"
table-1465-272,Roche limit,Roche limits for selected examples,Roche limits for selected examples,"[""Primary"", ""Satellite"", ""Orbital Radius / Roche limit"", ""Orbital Radius / Roche limit""]","[[""[Sun|Sun]"", ""[Mercury_(planet)|Mercury]"", ""104:1"", ""54:1""], [""[Earth|Earth]"", ""[Moon|Moon]"", ""41:1"", ""21:1""], [""[Mars|Mars]"", ""[Phobos_(moon)|Phobos]"", ""172%"", ""89%""]]"
table-1465-56,Decompression sickness,Signs and symptoms,Signs and symptoms of decompression sickness,"[""DCS type"", ""Bubble location"", ""Signs & symptoms (clinical manifestations)""]","[[""Musculoskeletal"", ""Mostly large joints (elbows, shoulders, hip, wrists, knees, ankles)"", ""Localized deep pain, ranging from mild to excruciating. Sometimes a dull ache, but rarely a sharp pain. Active and passive motion of the joint aggravates the pain. The pain may be reduced by bending the joint to find a more comfortable position. If caused by altitude, pain can occur immediately or up to many hours later.""], [""Cutaneous"", ""Skin"", ""[Formication|formication]""], [""Neurologic"", ""Brain"", ""[Paresthesia|paresthesia]""]]"
table-1465-885,Central America,Demographics,"Countries 
 of Central America","[""[Flag|flag]"", ""[List_of_countries_and_dependencies_by_area|Area]"", ""[List_of_countries_and_dependencies_by_population|Population]"", ""[List_of_sovereign_states_and_dependent_territories_by_population_density|Population density]"", ""[Capital_city|Capital]"", ""[Official_language|Official language]"", ""[Human_Development_Index|HDI]""]","[[""[Belize|Belize]"", ""22966"", ""307000"", ""13"", ""[Belmopan|Belmopan]"", ""English"", ""0.694 High""], [""[Costa_Rica|Costa Rica]"", ""51100"", ""4196000"", ""82"", ""[San_Jos\u00e9,_Costa_Rica|San Jos\u00e9]"", ""Spanish"", ""0.744 High""], [""[El_Salvador|El Salvador]"", ""21040"", ""6163000"", ""292"", ""[San_Salvador|San Salvador]"", ""Spanish"", ""0.674 Medium""]]"
table-1465-963,Zilog Z180,,Z80182,"[""Chip"", ""Speed (MHz)"", ""Timers"", ""I/O"", ""Comm. Contr."", ""Others""]","[[""Z80180"", ""6, 8, 10"", ""2"", ""N/S"", ""CPU"", ""1 MB MMU, 2xDMAs, 2xUARTs""], [""Z80181"", ""10"", ""1"", ""16"", ""CPU"", ""1 MB MMU, 2xDMAs, 2xUARTs""], [""Z80182"", ""16, 33, 20"", ""0"", ""Clock Serial, 24"", ""ESCC, CSIO, UART"", ""S180 Megacell, 2xESCC channels, 16550 MIMIC""]]"
table-1465-965,Kingdom of Galicia and Lodomeria,Demographics,Demographics,"[""Religions, Census of December 1910"", """", """"]","[[""Roman Catholic"", ""3,731,569"", ""46.5%""], [""Greek Catholic"", ""3,379,613"", ""42.1%""], [""Jewish"", ""871,895"", ""10.9%""]]"
table-1468-369,Boomerang Bay (Carowinds),List of attractions,List of attractions,"[""Name"", ""Year Opened"", ""Description"", ""Rating""]","[[""Awesome Aussie Twisters"", ""1997"", ""[Swim_ring|inner-tube]"", ""4""], [""Bondi Beach"", ""2008"", ""[Wave_pool|wave pool]"", ""3""], [""Crocodile Run"", ""1997"", ""[Lazy_river|Lazy river]"", ""2""]]"
table-1468-387,Splash Works,Slides and attractions,Slides and attractions,"[""Ride"", ""Year Opened"", ""Manufacturer"", ""Description"", ""Rating""]","[[""Barracuda Blaster"", ""2002"", ""[ProSlide_Technology|ProSlide Technology]"", ""A bowl ride slide that leads into the Lazy River"", ""5""], [""The Black Hole"", ""1996"", ""[ProSlide_Technology|ProSlide Technology]"", ""Two four-story enclosed water slides"", ""5""], [""Lazy River"", ""1992"", ""Water Technology"", ""[Lazy_river|lazy river]"", ""2""]]"
table-1468-870,Dorney Park & Wildwater Kingdom,Attractions,Attractions,"[""Ride"", ""Height Requirement"", ""Style"", ""Rating""]","[[""Aqua Racer"", ""Over 42\"""", ""[Water_slide|Multi-lane mat racer]"", ""4""], [""Aquablast"", ""Over 46\"""", ""Multi person slide"", ""5""], [""Cascade"", ""Over 48\"""", ""Double tube slide"", ""4""]]"
table-1469-448,Academy Award for Best Supporting Actress,1930s,1930s,"[""Year"", ""Actress"", ""Film"", ""Character""]","[[""[9th_Academy_Awards|9th Academy Awards]"", """", """", """"], [""[9th_Academy_Awards|9th Academy Awards]"", ""[Gale_Sondergaard|Gale Sondergaard]"", ""[Anthony_Adverse|Anthony Adverse]"", ""Faith Paleologus""], [""[9th_Academy_Awards|9th Academy Awards]"", ""[Beulah_Bondi|Beulah Bondi]"", ""[The_Gorgeous_Hussy|The Gorgeous Hussy]"", ""[Rachel_Jackson|Rachel Jackson]""]]"
table-1469-451,Academy Award for Best Supporting Actress,1940s,1940s,"[""Year"", ""Actress"", ""Film"", ""Character""]","[[""[13th_Academy_Awards|13th Academy Awards]"", """", """", """"], [""[13th_Academy_Awards|13th Academy Awards]"", ""[Jane_Darwell|Jane Darwell]"", ""[The_Grapes_of_Wrath_(film)|The Grapes of Wrath]"", ""Ma Joad""], [""[13th_Academy_Awards|13th Academy Awards]"", ""[Judith_Anderson|Judith Anderson]"", ""[Rebecca_(1940_film)|Rebecca]"", ""Mrs. Danvers""]]"
table-1469-452,Academy Award for Best Supporting Actress,1950s,1950s,"[""Year"", ""Actress"", ""Film"", ""Character""]","[[""[23rd_Academy_Awards|23rd Academy Awards]"", """", """", """"], [""[23rd_Academy_Awards|23rd Academy Awards]"", ""[Josephine_Hull|Josephine Hull]"", ""[Harvey_(film)|Harvey]"", ""Veta Louise Simmons""], [""[23rd_Academy_Awards|23rd Academy Awards]"", ""[Hope_Emerson|Hope Emerson]"", ""[Caged|Caged]"", ""Evelyn Harper""]]"
table-1469-453,Academy Award for Best Supporting Actress,1960s,1960s,"[""Year"", ""Actress"", ""Film"", ""Character""]","[[""[33rd_Academy_Awards|33rd Academy Awards]"", """", """", """"], [""[33rd_Academy_Awards|33rd Academy Awards]"", ""[Shirley_Jones|Shirley Jones]"", ""[Elmer_Gantry_(film)|Elmer Gantry]"", ""Lulu Baines""], [""[33rd_Academy_Awards|33rd Academy Awards]"", ""[Glynis_Johns|Glynis Johns]"", ""[The_Sundowners|The Sundowners]"", ""Mrs. Firth""]]"
table-1469-454,Academy Award for Best Supporting Actress,1970s,1970s,"[""Year"", ""Actress"", ""Film"", ""Character""]","[[""[43rd_Academy_Awards|43rd Academy Awards]"", """", """", """"], [""[43rd_Academy_Awards|43rd Academy Awards]"", ""[Helen_Hayes|Helen Hayes]"", ""[Airport_(1970_film)|Airport]"", ""Ada Quonsett""], [""[43rd_Academy_Awards|43rd Academy Awards]"", ""[Karen_Black|Karen Black]"", ""[Five_Easy_Pieces|Five Easy Pieces]"", ""Rayette Dipesto""]]"
table-1469-455,Academy Award for Best Supporting Actress,1980s,1980s,"[""Year"", ""Actress"", ""Film"", ""Character""]","[[""[53rd_Academy_Awards|53rd Academy Awards]"", """", """", """"], [""[53rd_Academy_Awards|53rd Academy Awards]"", ""[Mary_Steenburgen|Mary Steenburgen]"", ""[Melvin_and_Howard|Melvin and Howard]"", ""Lynda Dummar""], [""[53rd_Academy_Awards|53rd Academy Awards]"", ""[Eileen_Brennan|Eileen Brennan]"", ""[Private_Benjamin_(1980_film)|Private Benjamin]"", ""Capt. Doreen Lewis""]]"
table-1469-456,Academy Award for Best Supporting Actress,1990s,1990s,"[""Year"", ""Actress"", ""Film"", ""Character""]","[[""[63rd_Academy_Awards|63rd Academy Awards]"", """", """", """"], [""[63rd_Academy_Awards|63rd Academy Awards]"", ""[Whoopi_Goldberg|Whoopi Goldberg]"", ""[Ghost_(1990_film)|Ghost]"", ""Oda Mae Brown""], [""[63rd_Academy_Awards|63rd Academy Awards]"", ""[Annette_Bening|Annette Bening]"", ""[The_Grifters_(film)|The Grifters]"", ""Myra Langtry""]]"
table-1469-457,Academy Award for Best Supporting Actress,2000s,2000s,"[""Year"", ""Actress"", ""Film"", ""Character""]","[[""[73rd_Academy_Awards|73rd Academy Awards]"", """", """", """"], [""[73rd_Academy_Awards|73rd Academy Awards]"", ""[Marcia_Gay_Harden|Marcia Gay Harden]"", ""[Pollock_(film)|Pollock]"", ""[Lee_Krasner|Lee Krasner]""], [""[73rd_Academy_Awards|73rd Academy Awards]"", ""[Judi_Dench|Judi Dench]"", ""[Chocolat_(2000_film)|Chocolat]"", ""Armande Voizin""]]"
table-1469-458,Academy Award for Best Supporting Actress,2010s,2010s,"[""Year"", ""Actress"", ""Film"", ""Character""]","[[""[83rd_Academy_Awards|83rd Academy Awards]"", """", """", """"], [""[83rd_Academy_Awards|83rd Academy Awards]"", ""[Melissa_Leo|Melissa Leo]"", ""[The_Fighter|The Fighter]"", ""Alice Ward""], [""[83rd_Academy_Awards|83rd Academy Awards]"", ""[Amy_Adams|Amy Adams]"", ""The Fighter"", ""Charlene Fleming""]]"
table-1469-598,Academy Award for Best Visual Effects,Special Effects,Special Effects,"[""Year"", ""Film"", ""Nominee""]","[[""[36th_Academy_Awards|36th]"", ""[The_Birds_(film)|The Birds]"", ""[Ub_Iwerks|Ub Iwerks]""], [""[36th_Academy_Awards|36th]"", ""[Cleopatra_(1963_film)|Cleopatra]"", ""[Emil_Kosa,_Jr.|Emil Kosa, Jr.]""]]"
table-1469-809,List of people from Alaska,W,W,"[""[Jujiro_Wada|Jujiro Wada]"", ""ca. 1872"", ""1937"", ""Barrow, Fairbanks, Nome"", ""adventurer""]","[[""[Velma_Wallis|Velma Wallis]"", ""1960"", ""living"", ""[Fort_Yukon,_Alaska|Fort Yukon]"", ""writer""], [""[Nathan_West|Nathan West]"", ""1978"", ""living"", ""Anchorage"", ""actor""], [""[Mr._Whitekeys|Mr. Whitekeys]"", ""1947"", ""living"", ""[Spenard,_Anchorage|Spenard]"", ""writer, musician, commentator, satirist""]]"
table-1470-660,Audi A2,Technical information,Technical information,"[""[Internal_combustion_engine|Engine]"", ""[Engine_displacement|Displacement]"", ""[Motive_power|Max. power]"", ""[Torque|Max. torque]"", ""Engine ID Code(s)"", ""0-km/h (mph) (seconds)"", ""Top speed"", ""[Fuel_economy_in_automobiles|Fuel consumption]"", ""Years produced""]","[[""[Petrol_engine|Petrol engine]"", ""[Petrol_engine|Petrol engine]"", ""[Petrol_engine|Petrol engine]"", ""[Petrol_engine|Petrol engine]"", ""[Petrol_engine|Petrol engine]"", ""[Petrol_engine|Petrol engine]"", ""[Petrol_engine|Petrol engine]"", ""[Petrol_engine|Petrol engine]"", ""[Petrol_engine|Petrol engine]""], [""1.416v"", ""[Inline-four_engine|inline 4cyl]"", ""[Watt|kW]"", ""[Newton_metre|N\u00b7m]"", ""[List_of_Volkswagen_Group_petrol_engines|AUA, BBY]"", ""12.3sec"", ""km/h (mph)"", ""L/100km (mpg-imp; mpg-US)"", ""06/00\u201304/02 05/02\u201308/05""], [""1.6FSI"", ""[Gasoline_direct_injection|Fuel Stratified Injection (FSI)]"", ""kW (PS; bhp) @ 5,800rpm"", ""N\u00b7m (lbf\u00b7ft) @ 4,400rpm"", ""BAD"", ""9.8sec"", ""km/h (mph)"", ""L/100km (mpg-imp; mpg-US)"", ""05/02\u201308/05""]]"
table-1470-745,Reasons of the Supreme Court of Canada by Justice Bastarache,1998,1998,"["""", ""Case name"", ""Issue"", ""Co-authored by"", ""Joined by""]","[[""o"", ""R. v. Taylor"", ""Interception of private communications"", ""None"", ""Unanimous""], ["""", """", """", """", """"], ["""", ""R. v. Caslake"", ""Search and Seizure; Charter"", ""None"", ""L\u2019Heureux\u2011Dub\u00e9 and Gonthier JJ.""]]"
table-1471-256,List of awards and nominations received by Laurence Olivier,Academy Awards,Academy Awards,"[""Awards"", ""Awards"", ""Awards""]","[[""[Daniel_J._Bloomberg|Daniel J. Bloomberg]"", ""[Academy_Honorary_Award|Academy Honorary Award]"", ""[William_Nicholas_Selig|William Nicholas Selig]""], [""[Ronald_Colman|Ronald Colman]"", ""[Academy_Award_for_Best_Actor|Academy Award for Best Actor]"", ""[Broderick_Crawford|Broderick Crawford]""], [""[Darryl_F._Zanuck|Darryl F. Zanuck]"", ""[Academy_Award_for_Best_Picture|Academy Award for Best Picture]"", ""[Robert_Rossen|Robert Rossen]""]]"
table-1471-514,Claudine Barretto,Movies,Movies,"[""Year"", ""Film"", ""Role"", ""Notes and Awards""]","[[""1992"", ""Kumusta Ka Aking Mahal"", """", """"], [""1993"", ""Pulis Patola"", """", """"], [""1993"", ""[Home_Along_Da_Riles|Home Along da Riles da Movie]"", ""Bing Kosme"", """"]]"
table-1471-990,"Charleston, West Virginia metropolitan area",Counties,Counties,"[""County"", ""State"", ""Population"", ""[County_seat|Seat]""]","[[""[Kanawha_County,_West_Virginia|Kanawha]"", ""West Virginia"", ""191,663"", ""Charleston""], [""[Boone_County,_West_Virginia|Boone]"", ""West Virginia"", ""24,709"", ""Madison""], [""[Clay_County,_West_Virginia|Clay]"", ""West Virginia"", ""10,022"", ""Clay""]]"
table-1472-114,George Van Biesbroeck,Discoveries,Discoveries,"[""[Asteroid|Asteroid]"", ""[Asteroid|Asteroid]""]","[[""[990_Yerkes|990 Yerkes]"", ""1922-11-23""], [""[993_Moultona|993 Moultona]"", ""1923-01-12""], [""[1024_Hale|1024 Hale]"", ""1923-12-02""]]"
